pile,hyp,comp,model,cype,diff
P4,Qa,Mx,5.67,1.7,3.97
P4,Qa,My,12.33,12.9,-0.57
P4,Qa,Qx,2.36,0.7,1.66
P4,Qa,Qy,5.19,5.5,-0.31
P4,Qa,T,0.0,0.0,0.0
P4,TB1,N,-147.06,-146.3,-0.76
P4,TB1,Mx,-0.02,-0.0,-0.02
P4,TB1,My,-174.09,-175.1,1.01
P4,TB1,Qx,0.0,0.1,-0.1
P4,TB1,Qy,-50.88,-51.1,0.22
P4,TB1,T,0.04,0.1,-0.06
P4,TB2,N,-0.46,-0.4,-0.06
P4,TB2,Mx,0.0,0.0,0.0
P4,TB2,My,-0.51,-0.5,-0.01
P4,TB2,Qx,0.0,0.0,0.0
P4,TB2,Qy,-0.15,-0.2,0.05
P4,TB2,T,0.0,0.0,0.0
P4,TB3,N,0.46,0.4,0.06
P4,TB3,Mx,-0.0,-0.0,-0.0
P4,TB3,My,0.51,0.5,0.01
P4,TB3,Qx,-0.0,-0.0,-0.0
P4,TB3,Qy,0.15,0.2,-0.05
P4,TB3,T,-0.0,0.0,-0.0
P5,PP,N,105.57,105.6,-0.03
P5,PP,Mx,-0.28,-0.1,-0.18
P5,PP,My,-3.53,-3.5,-0.03
P5,PP,Qx,-0.12,-0.0,-0.12
P5,PP,Qy,-1.46,-1.5,0.04
P5,PP,T,-0.0,0.0,-0.0
P5,CM,N,24.95,24.9,0.05
P5,CM,Mx,-0.12,-0.0,-0.12
P5,CM,My,-1.29,-1.3,0.01
P5,CM,Qx,-0.05,-0.0,-0.05
P5,CM,Qy,-0.54,-0.6,0.06
P5,CM,T,-0.0,0.0,-0.0
P5,Qa,N,213.84,213.7,0.14
P5,Qa,Mx,-1.03,-0.2,-0.83
P5,Qa,My,-11.07,-11.4,0.33
P5,Qa,Qx,-0.44,-0.1,-0.34
P5,Qa,Qy,-4.6,-4.7,0.1
P5,Qa,T,-0.0,0.0,-0.0
P5,TB1,N,156.65,155.6,1.05
P5,TB1,Mx,0.26,0.6,-0.34
P5,TB1,My,-170.75,-169.0,-1.75
P5,TB1,Qx,0.07,0.1,-0.03
P5,TB1,Qy,-49.53,-48.9,-0.63
P5,TB1,T,0.15,0.1,0.05
P5,TB2,N,58.05,58.1,-0.05
P5,TB2,Mx,0.0,-0.0,0.0
P5,TB2,My,1.29,1.3,-0.01
P5,TB2,Qx,0.0,-0.0,0.0
P5,TB2,Qy,0.6,0.6,0.0
P5,TB2,T,0.0,0.0,0.0
P5,TB3,N,-58.05,-58.1,0.05
P5,TB3,Mx,-0.0,0.0,-0.0
P5,TB3,My,-1.29,-1.3,0.01
P5,TB3,Qx,-0.0,0.0,-0.0
P5,TB3,Qy,-0.6,-0.6,-0.0
P5,TB3,T,-0.0,0.0,-0.0
P6,PP,N,98.79,98.7,0.09
P6,PP,Mx,-0.27,-0.1,-0.17
P6,PP,My,3.48,3.4,0.08
P6,PP,Qx,-0.12,-0.0,-0.12
P6,PP,Qy,1.47,1.5,-0.03
P6,PP,T,0.0,0.0,0.0
P6,CM,N,22.89,22.7,0.19
P6,CM,Mx,-0.12,-0.0,-0.12
P6,CM,My,1.28,1.3,-0.02
P6,CM,Qx,-0.05,-0.0,-0.05
P6,CM,Qy,0.54,0.6,-0.06
P6,CM,T,0.0,0.0,0.0
P6,Qa,N,196.2,194.4,1.8
P6,Qa,Mx,-1.0,-0.3,-0.7
P6,Qa,My,10.96,11.3,-0.34
P6,Qa,Qx,-0.43,-0.1,-0.33
P6,Qa,Qy,4.61,4.8,-0.19
P6,Qa,T,0.0,0.0,0.0
P6,TB1,N,-155.99,-154.8,-1.19
P6,TB1,Mx,-0.3,-0.6,0.3
P6,TB1,My,-174.89,-173.3,-1.59
P6,TB1,Qx,-0.09,-0.2,0.11
P6,TB1,Qy,-51.27,-50.7,-0.57
P6,TB1,T,0.15,0.1,0.05
P6,TB2,N,-5.12,-5.1,-0.02
P6,TB2,Mx,-0.0,-0.0,-0.0
P6,TB2,My,-0.96,-1.0,0.04
P6,TB2,Qx,-0.0,-0.0,-0.0
P6,TB2,Qy,-0.34,-0.3,-0.04
P6,TB2,T,0.0,0.0,0.0
P6,TB3,N,5.12,5.1,0.02
P6,TB3,Mx,0.0,0.0,0.0
P6,TB3,My,0.96,1.0,-0.04
P6,TB3,Qx,0.0,0.0,0.0
P6,TB3,Qy,0.34,0.3,0.04
P6,TB3,T,-0.0,0.0,-0.0
P7,PP,N,107.42,107.5,-0.08
P7,PP,Mx,-0.0,0.0,-0.0
P7,PP,My,-3.6,-3.6,-0.0
P7,PP,Qx,-0.0,0.0,-0.0
P7,PP,Qy,-1.49,-1.5,0.01
P7,PP,T,-0.0,0.0,-0.0
P7,CM,N,25.73,25.7,0.03
P7,CM,Mx,-0.0,0.0,-0.0
P7,CM,My,-1.32,-1.4,0.08
P7,CM,Qx,-0.0,0.0,-0.0
P7,CM,Qy,-0.55,-0.6,0.05
P7,CM,T,-0.0,0.0,-0.0
P7,Qa,N,220.52,220.1,0.42
P7,Qa,Mx,-0.0,0.0,-0.0
P7,Qa,My,-11.33,-11.9,0.57
P7,Qa,Qx,-0.0,0.0,-0.0
P7,Qa,Qy,-4.71,-5.0,0.29
P7,Qa,T,-0.0,0.0,-0.0
P7,TB1,N,144.98,142.8,2.18
P7,TB1,Mx,0.68,0.6,0.08
P7,TB1,My,-171.46,-168.9,-2.56
P7,TB1,Qx,0.2,0.1,0.1
P7,TB1,Qy,-50.09,-49.3,-0.79
P7,TB1,T,0.35,0.1,0.25
P7,TB2,N,0.57,0.4,0.17
P7,TB2,Mx,-0.0,0.0,-0.0
P7,TB2,My,-0.43,-0.5,0.07
P7,TB2,Qx,-0.0,0.0,-0.0
P7,TB2,Qy,-0.12,-0.1,-0.02
P7,TB2,T,-0.0,0.0,-0.0
P7,TB3,N,-0.57,-0.4,-0.17
P7,TB3,Mx,0.0,0.0,0.0
