pile,hyp,comp,model,cype,diff
P3,CM,Qy,-0.59,-0.6,0.01
P3,CM,T,0.0,0.0,0.0
P3,Qa,N,239.11,235.7,3.41
P3,Qa,Mx,4.93,1.2,3.73
P3,Qa,My,-12.04,-13.0,0.96
P3,Qa,Qx,2.07,0.5,1.57
P3,Qa,Qy,-5.02,-5.4,0.38
P3,Qa,T,0.0,0.0,0.0
P3,TB1,N,147.01,146.2,0.81
P3,TB1,Mx,0.82,0.4,0.42
P3,TB1,My,-174.83,-175.0,0.17
P3,TB1,Qx,0.25,0.0,0.25
P3,TB1,Qy,-50.99,-51.1,0.11
P3,TB1,T,0.36,0.1,0.26
P3,TB2,N,0.64,0.6,0.04
P3,TB2,Mx,0.0,0.1,-0.1
P3,TB2,My,-0.49,-0.5,0.01
P3,TB2,Qx,0.0,0.0,0.0
P3,TB2,Qy,-0.14,-0.1,-0.04
P3,TB2,T,0.0,0.0,0.0
P3,TB3,N,-0.64,-0.6,-0.04
P3,TB3,Mx,-0.0,-0.1,0.1
P3,TB3,My,0.49,0.5,-0.01
P3,TB3,Qx,-0.0,-0.0,-0.0
P3,TB3,Qy,0.14,0.1,0.04
P3,TB3,T,-0.0,0.0,-0.0
P4,PP,N,105.39,105.2,0.19
P4,PP,Mx,1.39,0.6,0.79
P4,PP,My,3.76,3.9,-0.14
P4,PP,Qx,0.58,0.3,0.28
P4,PP,Qy,1.59,1.7,-0.1
P4,PP,T,0.0,0.0,0.0
P4,CM,N,25.57,25.3,0.27
P4,CM,Mx,0.56,0.2,0.36
P4,CM,My,1.4,1.5,-0.1
P4,CM,Qx,0.23,0.1,0.13
P4,CM,Qy,0.59,0.6,-0.01
P4,CM,T,0.0,0.0,0.0
P4,Qa,N,219.19,216.5,2.69
P4,Qa,Mx,4.8,1.7,3.1
P4,Qa,My,11.98,12.9,-0.92
P4,Qa,Qx,2.02,0.7,1.32
P4,Qa,Qy,5.06,5.5,-0.44
P4,Qa,T,0.0,0.0,0.0
P4,TB1,N,-147.45,-146.3,-1.15
P4,TB1,Mx,-0.75,-0.0,-0.75
P4,TB1,My,-174.94,-175.1,0.16
P4,TB1,Qx,-0.21,0.1,-0.31
P4,TB1,Qy,-51.04,-51.1,0.06
P4,TB1,T,0.36,0.1,0.26
P4,TB2,N,-0.51,-0.4,-0.11
P4,TB2,Mx,0.01,0.0,0.01
P4,TB2,My,-0.54,-0.5,-0.04
P4,TB2,Qx,0.0,0.0,0.0
P4,TB2,Qy,-0.16,-0.2,0.04
P4,TB2,T,0.0,0.0,0.0
P4,TB3,N,0.51,0.4,0.11
P4,TB3,Mx,-0.01,-0.0,-0.01
P4,TB3,My,0.54,0.5,0.04
P4,TB3,Qx,-0.0,-0.0,-0.0
P4,TB3,Qy,0.16,0.2,-0.04
P4,TB3,T,-0.0,0.0,-0.0
P5,PP,N,105.51,105.6,-0.09
P5,PP,Mx,-0.27,-0.1,-0.17
P5,PP,My,-3.47,-3.5,0.03
P5,PP,Qx,-0.12,-0.0,-0.12
P5,PP,Qy,-1.44,-1.5,0.06
P5,PP,T,0.0,0.0,0.0
P5,CM,N,25.0,24.9,0.11
P5,CM,Mx,-0.11,-0.0,-0.11
P5,CM,My,-1.27,-1.3,0.03
P5,CM,Qx,-0.05,-0.0,-0.05
P5,CM,Qy,-0.53,-0.6,0.07
P5,CM,T,0.0,0.0,0.0
P5,Qa,N,214.33,213.7,0.63
P5,Qa,Mx,-0.95,-0.2,-0.75
P5,Qa,My,-10.85,-11.4,0.55
P5,Qa,Qx,-0.4,-0.1,-0.3
P5,Qa,Qy,-4.52,-4.7,0.18
P5,Qa,T,0.0,0.0,0.0
P5,TB1,N,155.21,155.6,-0.39
P5,TB1,Mx,0.75,0.6,0.15
P5,TB1,My,-169.01,-169.0,-0.01
P5,TB1,Qx,0.21,0.1,0.11
P5,TB1,Qy,-48.94,-48.9,-0.04
P5,TB1,T,0.36,0.1,0.26
P5,TB2,N,57.99,58.1,-0.11
P5,TB2,Mx,-0.0,-0.0,-0.0
P5,TB2,My,1.26,1.3,-0.04
P5,TB2,Qx,-0.0,-0.0,-0.0
P5,TB2,Qy,0.59,0.6,-0.01
P5,TB2,T,0.0,0.0,0.0
P5,TB3,N,-57.99,-58.1,0.11
P5,TB3,Mx,0.0,0.0,0.0
P5,TB3,My,-1.26,-1.3,0.04
P5,TB3,Qx,0.0,0.0,0.0
P5,TB3,Qy,-0.59,-0.6,0.01
P5,TB3,T,-0.0,0.0,-0.0
P6,PP,N,98.93,98.7,0.23
P6,PP,Mx,-0.27,-0.1,-0.17
P6,PP,My,3.42,3.4,0.02
P6,PP,Qx,-0.11,-0.0,-0.11
P6,PP,Qy,1.45,1.5,-0.05
P6,PP,T,0.0,0.0,0.0
P6,CM,N,22.95,22.7,0.25
P6,CM,Mx,-0.11,-0.0,-0.11
P6,CM,My,1.25,1.3,-0.05
P6,CM,Qx,-0.04,-0.0,-0.04
P6,CM,Qy,0.53,0.6,-0.07
P6,CM,T,0.0,0.0,0.0
P6,Qa,N,196.67,194.4,2.27
P6,Qa,Mx,-0.93,-0.3,-0.63
P6,Qa,My,10.74,11.3,-0.56
P6,Qa,Qx,-0.39,-0.1,-0.29
P6,Qa,Qy,4.54,4.8,-0.26
P6,Qa,T,0.0,0.0,0.0
P6,TB1,N,-154.47,-154.8,0.33
P6,TB1,Mx,-0.78,-0.6,-0.18
P6,TB1,My,-173.12,-173.3,0.18
P6,TB1,Qx,-0.22,-0.2,-0.02
P6,TB1,Qy,-50.66,-50.7,0.04
P6,TB1,T,0.36,0.1,0.26
P6,TB2,N,-5.08,-5.1,0.02
P6,TB2,Mx,-0.0,-0.0,-0.0
P6,TB2,My,-0.94,-1.0,0.06
P6,TB2,Qx,-0.0,-0.0,-0.0
P6,TB2,Qy,-0.33,-0.3,-0.03
P6,TB2,T,0.0,0.0,0.0
P6,TB3,N,5.08,5.1,-0.02
P6,TB3,Mx,0.0,0.0,0.0
P6,TB3,My,0.94,1.0,-0.06
P6,TB3,Qx,0.0,0.0,0.0
P6,TB3,Qy,0.33,0.3,0.03
P6,TB3,T,-0.0,0.0,-0.0
P7,PP,N,107.22,107.5,-0.28
