family,pile,where,what,model,model_comb,cype,cype_comb,diff_%
ELU,P15,cabeza,|Mx| max,21.1,22,5.2,16,309.4
ELU,P16,base,N max,407.2,8,406.3,8,0.2
ELU,P16,base,N min,2.4,17,0.6,17,
ELU,P16,base,|My| max,-245.2,8,-247.3,8,-0.9
ELU,P16,base,|Mx| max,28.3,10,20.9,22,35.4
ELU,P16,cabeza,N max,374.4,8,370.9,8,1.0
ELU,P16,cabeza,N min,-21.9,17,-25.6,17,-14.5
ELU,P16,cabeza,|My| max,240.9,8,242.3,8,-0.6
ELU,P16,cabeza,|Mx| max,-50.3,10,-38.0,22,32.2
ELU,P17,base,N max,510.2,22,501.3,22,1.8
ELU,P17,base,N min,-77.8,5,-77.2,5,0.8
ELU,P17,base,|My| max,-238.5,5,-239.0,5,-0.2
ELU,P17,base,|Mx| max,-12.3,10,-4.6,10,167.0
ELU,P17,cabeza,N max,477.4,22,465.8,22,2.5
ELU,P17,cabeza,N min,-102.1,5,-103.5,5,-1.4
ELU,P17,cabeza,|My| max,223.9,5,223.2,5,0.3
ELU,P17,cabeza,|Mx| max,21.4,10,7.8,10,174.5
ELU,P18,base,N max,266.7,22,260.9,22,2.2
ELU,P18,base,N min,-113.9,5,-118.2,5,-3.7
ELU,P18,base,|My| max,-240.0,5,-241.9,5,-0.8
ELU,P18,base,|Mx| max,27.3,22,26.9,10,1.4
ELU,P18,cabeza,N max,233.9,22,225.4,22,3.8
ELU,P18,cabeza,N min,-138.2,5,-144.5,5,-4.4
ELU,P18,cabeza,|My| max,231.9,5,232.8,5,-0.4
ELU,P18,cabeza,|Mx| max,-49.2,22,-49.2,10,0.1
CIM,P1,base,N max,494.8,8,493.6,8,0.2
CIM,P1,base,N min,-3.4,17,-5.2,17,-34.3
CIM,P1,base,|My| max,-291.0,8,-293.6,8,-0.9
CIM,P1,base,|Mx| max,-30.3,22,-23.1,22,31.3
CIM,P1,cabeza,N max,455.9,8,451.7,8,0.9
CIM,P1,cabeza,N min,-27.7,17,-31.4,17,-11.7
CIM,P1,cabeza,|My| max,285.7,8,287.5,8,-0.6
CIM,P1,cabeza,|Mx| max,54.6,22,41.9,22,30.4
CIM,P2,base,N max,298.1,22,291.5,22,2.3
CIM,P2,base,N min,-146.0,5,-150.7,5,-3.1
CIM,P2,base,|My| max,-285.3,5,-287.6,5,-0.8
CIM,P2,base,|Mx| max,-30.5,10,-30.8,10,-1.1
CIM,P2,cabeza,N max,259.2,22,249.4,22,3.9
CIM,P2,cabeza,N min,-170.3,5,-177.0,5,-3.8
CIM,P2,cabeza,|My| max,275.7,5,277.1,5,-0.5
CIM,P2,cabeza,|Mx| max,54.7,10,55.3,10,-1.2
CIM,P3,base,N max,753.6,10,741.2,10,1.7
CIM,P3,base,N min,140.4,17,138.8,17,1.1
CIM,P3,base,|My| max,-301.6,8,-303.2,8,-0.5
CIM,P3,base,|Mx| max,13.4,10,3.3,10,312.0
CIM,P3,cabeza,N max,714.8,10,699.1,10,2.2
CIM,P3,cabeza,N min,116.1,17,112.5,17,3.1
CIM,P3,cabeza,|My| max,307.4,8,309.1,8,-0.5
CIM,P3,cabeza,|Mx| max,-23.8,10,-5.7,16,317.0
CIM,P4,base,N max,565.3,22,555.6,22,1.7
CIM,P4,base,N min,-104.1,5,-103.6,5,0.5
CIM,P4,base,|My| max,-273.9,5,-274.8,5,-0.3
CIM,P4,base,|Mx| max,12.5,16,4.0,4,211.4
CIM,P4,cabeza,N max,526.4,22,513.5,22,2.5
CIM,P4,cabeza,N min,-128.4,5,-129.9,5,-1.1
CIM,P4,cabeza,|My| max,257.7,5,257.5,5,0.1
CIM,P4,cabeza,|Mx| max,-22.4,16,-7.8,10,188.6
CIM,P5,base,N max,700.3,10,700.1,10,0.0
CIM,P5,base,N min,37.5,17,37.5,17,-0.2
CIM,P5,base,|My| max,-291.4,8,-290.8,8,0.2
CIM,P5,base,|Mx| max,-2.5,22,0.9,5,
CIM,P5,cabeza,N max,661.5,10,658.0,10,0.5
CIM,P5,cabeza,N min,13.2,17,11.2,17,17.1
CIM,P5,cabeza,|My| max,292.0,8,291.0,8,0.3
CIM,P5,cabeza,|Mx| max,4.4,16,1.1,4,295.0
CIM,P6,base,N max,513.6,22,510.2,22,0.7
CIM,P6,base,N min,-126.6,5,-126.3,5,0.2
CIM,P6,base,|My| max,-273.0,5,-272.6,5,0.2
CIM,P6,base,|Mx| max,-2.9,10,-1.5,8,97.6
CIM,P6,cabeza,N max,474.7,22,468.1,22,1.4
CIM,P6,cabeza,N min,-150.9,5,-152.6,5,-1.1
CIM,P6,cabeza,|My| max,259.1,5,257.6,5,0.6
CIM,P6,cabeza,|Mx| max,4.8,10,2.0,8,138.3
CIM,P7,base,N max,703.6,10,702.4,10,0.2
CIM,P7,base,N min,132.1,17,132.6,17,-0.4
CIM,P7,base,|My| max,-292.1,8,-291.6,8,0.2
CIM,P7,base,|Mx| max,1.3,5,1.0,5,
CIM,P7,cabeza,N max,664.7,10,660.3,10,0.7
CIM,P7,cabeza,N min,107.8,17,106.3,17,1.4
CIM,P7,cabeza,|My| max,296.8,8,296.2,8,0.2
CIM,P7,cabeza,|Mx| max,-1.2,5,-0.5,5,
CIM,P8,base,N max,522.6,22,519.7,22,0.6
CIM,P8,base,N min,-107.1,5,-105.9,5,1.2
CIM,P8,base,|My| max,-266.7,5,-265.4,5,0.5
CIM,P8,base,|Mx| max,-1.1,8,-0.8,5,
CIM,P8,cabeza,N max,483.7,22,477.6,22,1.3
CIM,P8,cabeza,N min,-131.4,5,-132.2,5,-0.6
