pile,hyp,comp,model,cype,diff
P4,Qa,My,-21.94,-23.6,1.66
P4,Qa,Qx,2.02,0.7,1.32
P4,Qa,Qy,5.06,5.5,-0.44
P4,Qa,T,0.0,0.0,0.0
P4,TB1,N,-147.45,-146.3,-1.15
P4,TB1,Mx,0.68,-0.6,1.28
P4,TB1,My,167.04,167.2,-0.16
P4,TB1,Qx,-0.21,0.1,-0.31
P4,TB1,Qy,-51.04,-51.1,0.06
P4,TB1,T,0.36,0.1,0.26
P4,TB2,N,-0.51,-0.4,-0.11
P4,TB2,Mx,-0.02,-0.0,-0.02
P4,TB2,My,0.53,0.5,0.03
P4,TB2,Qx,0.0,0.0,0.0
P4,TB2,Qy,-0.16,-0.2,0.04
P4,TB2,T,0.0,0.0,0.0
P4,TB3,N,0.51,0.4,0.11
P4,TB3,Mx,0.02,0.0,0.02
P4,TB3,My,-0.53,-0.5,-0.03
P4,TB3,Qx,-0.0,-0.0,-0.0
P4,TB3,Qy,0.16,0.2,-0.04
P4,TB3,T,-0.0,0.0,-0.0
P5,PP,N,81.21,79.3,1.91
P5,PP,Mx,0.49,0.2,0.29
P5,PP,My,6.2,6.3,-0.1
P5,PP,Qx,-0.12,-0.0,-0.12
P5,PP,Qy,-1.44,-1.5,0.06
P5,PP,T,0.0,0.0,0.0
P5,CM,N,25.0,24.9,0.11
P5,CM,Mx,0.2,0.1,0.1
P5,CM,My,2.27,2.4,-0.13
P5,CM,Qx,-0.05,-0.0,-0.05
P5,CM,Qy,-0.53,-0.6,0.07
P5,CM,T,0.0,0.0,0.0
P5,Qa,N,214.33,213.7,0.63
P5,Qa,Mx,1.73,0.4,1.33
P5,Qa,My,19.46,20.4,-0.94
P5,Qa,Qx,-0.4,-0.1,-0.3
P5,Qa,Qy,-4.52,-4.7,0.18
P5,Qa,T,0.0,0.0,0.0
P5,TB1,N,155.21,155.6,-0.39
P5,TB1,Mx,-0.69,-0.3,-0.39
P5,TB1,My,158.85,158.9,-0.05
P5,TB1,Qx,0.21,0.1,0.11
P5,TB1,Qy,-48.94,-48.9,-0.04
P5,TB1,T,0.36,0.1,0.26
P5,TB2,N,57.99,58.1,-0.11
P5,TB2,Mx,0.0,0.0,0.0
P5,TB2,My,-2.73,-2.7,-0.03
P5,TB2,Qx,-0.0,-0.0,-0.0
P5,TB2,Qy,0.59,0.6,-0.01
